#,"

In which order would you load the following objects in a shopping bag?
",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
3hdb9u3zzmuh5i4ab53hdb9uqwwgl4yc,"Strawberries,Mushrooms,Bananas,Tomatoes,Bell Pepper,Lettuce,Apples,Cheese ,Noodles in Plastic Bag,Onions,Frozen Spinach,Canned Peas,Canned Beans,Cucumber,Joghurt Cup,Canned Corn,Eggs,Energy drink can,Glass Beer Bottle,1.5L Plastic Water Bottle",completed,2025-02-02 10:53:04,,2025-02-02 10:55:40,75254c2a74,
oke64jjdmm4hnd5fzph6hioke64jjddr,"Lettuce,Strawberries,Mushrooms,Tomatoes,Eggs,Joghurt Cup,Bell Pepper,Bananas,Apples,Cucumber,Onions,Cheese ,Noodles in Plastic Bag,Frozen Spinach,Glass Beer Bottle,Energy drink can,Canned Beans,Canned Peas,Canned Corn,1.5L Plastic Water Bottle",completed,2025-01-29 11:57:41,,2025-01-29 11:59:47,349975df21,
30i1xkoetoj8hw15ny4x30i1xkuzuo8z,"Eggs,Bananas,Tomatoes,Mushrooms,Apples,Joghurt Cup,Bell Pepper,Cheese ,Onions,Lettuce,Cucumber,Strawberries,Noodles in Plastic Bag,Frozen Spinach,Canned Corn,Canned Peas,Canned Beans,Energy drink can,Glass Beer Bottle,1.5L Plastic Water Bottle",completed,2025-01-28 16:01:52,,2025-01-28 16:02:34,14bb34939c,
qnsu8vy7unxjp1z18sgh9fqnsu8vu82a,"Eggs,Strawberries,Bananas,Tomatoes,Lettuce,Mushrooms,Cucumber,Bell Pepper,Cheese ,Joghurt Cup,Apples,Onions,Noodles in Plastic Bag,Frozen Spinach,Canned Corn,Canned Beans,Canned Peas,1.5L Plastic Water Bottle,Energy drink can,Glass Beer Bottle",completed,2025-01-28 12:47:10,,2025-01-28 12:49:01,d9db50fb56,
qzqwfpmg01a86lgwi5agqzqwfpmxta0b,"Bananas,Apples,Tomatoes,Mushrooms,Bell Pepper,Lettuce,Cucumber,Strawberries,Onions,Eggs,1.5L Plastic Water Bottle,Cheese ,Frozen Spinach,Joghurt Cup,Canned Beans,Canned Peas,Canned Corn,Noodles in Plastic Bag,Glass Beer Bottle,Energy drink can",completed,2025-01-28 09:00:46,,2025-01-28 09:02:26,3189a81507,
z9puc2do4vl89j4ndz9puc2d4rkjbfsu,"Eggs,Strawberries,Joghurt Cup,Noodles in Plastic Bag,Frozen Spinach,Lettuce,Tomatoes,Mushrooms,Bell Pepper,Cucumber,Onions,Bananas,Apples,Cheese ,Energy drink can,Canned Peas,Canned Corn,Canned Beans,Glass Beer Bottle,1.5L Plastic Water Bottle",completed,2025-01-28 07:34:27,,2025-01-28 07:40:27,ac384dce02,
zef2lej0rkv9x7frhzef2leja69gaihy,"Bananas,Tomatoes,Apples,Strawberries,Cucumber,Joghurt Cup,Lettuce,Mushrooms,Cheese ,Eggs,Onions,Bell Pepper,Noodles in Plastic Bag,Canned Corn,Canned Peas,Frozen Spinach,1.5L Plastic Water Bottle,Glass Beer Bottle,Canned Beans,Energy drink can",completed,2025-01-28 07:17:21,,2025-01-28 07:20:03,75254c2a74,
i6t5azvx4vd9mm1i6t51vgf2k3exnxh8,"Bananas,Energy drink can,Canned Beans,Tomatoes,Mushrooms,Canned Peas,Apples,Glass Beer Bottle,1.5L Plastic Water Bottle,Noodles in Plastic Bag,Canned Corn,Frozen Spinach,Bell Pepper,Cheese ,Onions,Lettuce,Cucumber,Strawberries,Eggs,Joghurt Cup",completed,2025-01-28 07:16:44,,2025-01-28 07:16:58,75254c2a74,
l39nyfd1pfpomexa7l39nyf6wwp2fm9m,"Joghurt Cup,Eggs,Bananas,Energy drink can,Canned Beans,Tomatoes,Mushrooms,Apples,Canned Peas,Glass Beer Bottle,1.5L Plastic Water Bottle,Noodles in Plastic Bag,Canned Corn,Frozen Spinach,Bell Pepper,Cheese ,Onions,Lettuce,Cucumber,Strawberries",completed,2025-01-28 06:42:23,,2025-01-28 06:42:40,75254c2a74,
kvrp2ibuu48lro6mpkvrpwlla4z4eeez,"Strawberries,Eggs,Bananas,Tomatoes,Mushrooms,Cheese ,Bell Pepper,Apples,Lettuce,Cucumber,Joghurt Cup,Frozen Spinach,Noodles in Plastic Bag,Onions,Canned Peas,Canned Beans,Canned Corn,Glass Beer Bottle,Energy drink can,1.5L Plastic Water Bottle",completed,2025-01-27 20:30:42,,2025-01-27 20:33:30,ac018b8e47,
htn5mkti2b4t2rhtuoy0m4vh7lyhpb56,"Strawberries,Lettuce,Bananas,Tomatoes,Mushrooms,Bell Pepper,Joghurt Cup,Eggs,Cucumber,Apples,Onions,Noodles in Plastic Bag,Cheese ,Frozen Spinach,Canned Beans,Canned Peas,Canned Corn,Energy drink can,1.5L Plastic Water Bottle,Glass Beer Bottle",completed,2025-01-27 13:36:00,,2025-01-27 13:38:10,349975df21,
hclrsc1a1dvmudh6rnhclb7o5frfygg5,"Cheese ,Bananas,Eggs,Tomatoes,Onions,Noodles in Plastic Bag,Mushrooms,Apples,Glass Beer Bottle,1.5L Plastic Water Bottle,Canned Corn,Frozen Spinach,Bell Pepper,Lettuce,Cucumber,Strawberries,Joghurt Cup,Canned Beans,Energy drink can,Canned Peas",completed,2025-01-27 12:10:38,,2025-01-27 12:11:45,bbe14feff7,
5hsyz55pf4juvpku15hsyz5bvb6ue1ti,"Strawberries,Lettuce,Tomatoes,Mushrooms,Bell Pepper,Cucumber,Bananas,Onions,Joghurt Cup,Eggs,Apples,Cheese ,Noodles in Plastic Bag,Energy drink can,Frozen Spinach,1.5L Plastic Water Bottle,Canned Peas,Canned Corn,Canned Beans,Glass Beer Bottle",completed,2025-01-27 12:04:51,,2025-01-27 12:07:47,349975df21,
zfu80r2v2zdw58y7q4nvczfu80r903s3,"Eggs,Tomatoes,Apples,Strawberries,1.5L Plastic Water Bottle,Bell Pepper,Onions,Lettuce,Cucumber,Cheese ,Mushrooms,Noodles in Plastic Bag,Bananas,Joghurt Cup,Canned Corn,Canned Peas,Canned Beans,Frozen Spinach,Glass Beer Bottle,Energy drink can",completed,2025-01-27 11:49:33,,2025-01-27 11:51:13,d63594e15d,
gwrn5w7i6qjx38artfbgwrnypac1rjgt,"Bell Pepper,Bananas,Eggs,Tomatoes,Strawberries,Lettuce,Mushrooms,Cucumber,Apples,Noodles in Plastic Bag,Joghurt Cup,Frozen Spinach,Cheese ,Onions,1.5L Plastic Water Bottle,Canned Peas,Canned Beans,Energy drink can,Canned Corn,Glass Beer Bottle",completed,2025-01-27 11:08:17,,2025-01-27 11:09:44,349975df21,
mbbdqxjof53ae9kmbbdqle6p41eixptf,"Strawberries,Eggs,Bananas,Lettuce,Tomatoes,Apples,Mushrooms,Joghurt Cup,Bell Pepper,Noodles in Plastic Bag,Cheese ,Frozen Spinach,Onions,Cucumber,Canned Corn,1.5L Plastic Water Bottle,Glass Beer Bottle,Canned Peas,Canned Beans,Energy drink can",completed,2025-01-27 10:59:21,,2025-01-27 11:01:02,349975df21,
ioofgjyd6m01fzbioofueqka1ne7ttx3,"Eggs,Joghurt Cup,Strawberries,Tomatoes,Lettuce,Bananas,Mushrooms,Bell Pepper,Cucumber,Apples,Onions,Cheese ,Noodles in Plastic Bag,1.5L Plastic Water Bottle,Energy drink can,Frozen Spinach,Glass Beer Bottle,Canned Beans,Canned Peas,Canned Corn",completed,2025-01-27 10:53:56,,2025-01-27 10:59:38,9214e01de0,
tori85fd3ovyqu3vxzcltori85f03xdg,"Strawberries,Mushrooms,Joghurt Cup,Bell Pepper,Tomatoes,Eggs,Bananas,Cheese ,Noodles in Plastic Bag,Glass Beer Bottle,Cucumber,Frozen Spinach,Lettuce,Apples,Onions,Canned Corn,1.5L Plastic Water Bottle,Energy drink can,Canned Beans,Canned Peas",completed,2025-01-27 10:43:00,,2025-01-27 10:49:06,fc55a6d906,
so9guu9upsa59i1so9pn02ezwo7h98tj,"Joghurt Cup,Eggs,Tomatoes,Strawberries,Lettuce,Onions,Bananas,Mushrooms,Bell Pepper,Cheese ,Noodles in Plastic Bag,Frozen Spinach,Cucumber,Apples,Energy drink can,Glass Beer Bottle,Canned Corn,Canned Peas,Canned Beans,1.5L Plastic Water Bottle",completed,2025-01-27 10:42:53,,2025-01-27 10:46:17,349975df21,
g2pg3throy63uj4pj5z9g2pg3tisstco,"Joghurt Cup,Bananas,Strawberries,Tomatoes,Mushrooms,Lettuce,Bell Pepper,Cucumber,Eggs,Apples,Onions,Cheese ,Frozen Spinach,Noodles in Plastic Bag,Canned Corn,Canned Peas,Canned Beans,Energy drink can,Glass Beer Bottle,1.5L Plastic Water Bottle",completed,2025-01-27 10:39:13,,2025-01-27 10:45:19,d055937171,
lfu8odh1yqzazjk4i24rf9lfu8odu821,"Eggs,Joghurt Cup,Strawberries,Bananas,Tomatoes,Mushrooms,Bell Pepper,Lettuce,Cheese ,Cucumber,Apples,Noodles in Plastic Bag,Frozen Spinach,Onions,Glass Beer Bottle,Canned Corn,Energy drink can,1.5L Plastic Water Bottle,Canned Beans,Canned Peas",completed,2025-01-27 10:38:34,,2025-01-27 10:41:26,349975df21,
gko0dvb1gwdszoyjosa20lfo5gko0dvn,"Strawberries,Eggs,Joghurt Cup,Lettuce,Mushrooms,Bell Pepper,Tomatoes,Apples,Cucumber,Bananas,Cheese ,Onions,Frozen Spinach,Noodles in Plastic Bag,Glass Beer Bottle,1.5L Plastic Water Bottle,Energy drink can,Canned Peas,Canned Corn,Canned Beans",completed,2025-01-27 10:33:32,,2025-01-27 10:35:36,349975df21,
ejt0ws4csd1nejt0g6k25ar4t3pctjey,"Strawberries,Lettuce,Tomatoes,Joghurt Cup,Eggs,Bananas,Cucumber,Mushrooms,Bell Pepper,Apples,Noodles in Plastic Bag,Onions,Cheese ,Frozen Spinach,Energy drink can,1.5L Plastic Water Bottle,Canned Corn,Canned Peas,Canned Beans,Glass Beer Bottle",completed,2025-01-27 10:30:24,,2025-01-27 10:34:00,17c5b27b71,
acyrgmvz84xysacyrg2q2t7g6j80mlyi,"Bananas,Mushrooms,Tomatoes,Bell Pepper,Cucumber,Lettuce,Onions,Apples,Eggs,1.5L Plastic Water Bottle,Cheese ,Canned Peas,Canned Corn,Canned Beans,Noodles in Plastic Bag,Frozen Spinach,Joghurt Cup,Strawberries,Glass Beer Bottle,Energy drink can",completed,2025-01-25 09:24:13,,2025-01-25 09:26:33,fef799af00,
v0gbcby5w1v4cmhgdk0v0gbcxyadfpqc,"Noodles in Plastic Bag,Joghurt Cup,Tomatoes,Eggs,Strawberries,Energy drink can,Lettuce,Bell Pepper,Mushrooms,Cheese ,Apples,Frozen Spinach,Onions,Cucumber,Bananas,Glass Beer Bottle,1.5L Plastic Water Bottle,Canned Peas,Canned Corn,Canned Beans",completed,2025-01-25 09:14:01,,2025-01-25 09:18:09,663123ab3b,
p5y8zj3wtfb9trocsk9p5y8zamkr6jwy,"Eggs,Tomatoes,Bananas,Mushrooms,Noodles in Plastic Bag,Bell Pepper,Cheese ,Lettuce,Cucumber,Strawberries,Glass Beer Bottle,Joghurt Cup,Frozen Spinach,Energy drink can,Apples,Onions,Canned Peas,Canned Beans,Canned Corn,1.5L Plastic Water Bottle",completed,2025-01-25 09:02:21,,2025-01-25 09:03:49,b439c7285b,
lzoyu5blh7arug6i9494lzoyuqfl5mo0,"Eggs,Strawberries,Tomatoes,Cheese ,Joghurt Cup,Bananas,Bell Pepper,Mushrooms,Lettuce,Glass Beer Bottle,Canned Corn,Frozen Spinach,Apples,Cucumber,Onions,Canned Peas,Canned Beans,Energy drink can,1.5L Plastic Water Bottle,Noodles in Plastic Bag",completed,2025-01-24 17:39:45,,2025-01-24 17:42:01,9ef48242a2,
0i0fffb20c18wzvpgxss0i03i2urnz6u,"Lettuce,Strawberries,Tomatoes,Bananas,Bell Pepper,Joghurt Cup,Mushrooms,Eggs,Noodles in Plastic Bag,Cheese ,Cucumber,Apples,Frozen Spinach,Onions,Energy drink can,Canned Beans,Canned Peas,Canned Corn,Glass Beer Bottle,1.5L Plastic Water Bottle",completed,2025-01-24 16:46:16,,2025-01-24 16:48:59,d423b66669,
